trade_date,ts_code,name,rank,in_top15,in_buffer
20260206,002985.SZ,北摩高科,1,1,1
20260206,605599.SH,菜百股份,2,1,1
20260206,605118.SH,力鼎光电,3,1,1
20260206,300401.SZ,花园生物,4,1,1
20260206,000672.SZ,上峰水泥,5,1,1
20260206,688548.SH,广钢气体,6,1,1
20260206,301205.SZ,联特科技,7,1,1
20260206,001337.SZ,四川黄金,8,1,1
20260206,600963.SH,岳阳林纸,9,1,1
20260206,603103.SH,横店影视,10,1,1
20260206,688717.SH,艾罗能源,11,1,1
20260206,301526.SZ,国际复材,12,1,1
20260206,605376.SH,博迁新材,13,1,1
20260209,002985.SZ,北摩高科,1,1,1
20260209,605599.SH,菜百股份,4,1,1
20260209,605118.SH,力鼎光电,2,1,1
20260209,300401.SZ,花园生物,9,1,1
20260209,000672.SZ,上峰水泥,6,1,1
20260209,688548.SH,广钢气体,7,1,1
20260209,301205.SZ,联特科技,5,1,1
20260209,001337.SZ,四川黄金,10,1,1
20260209,600963.SH,岳阳林纸,12,1,1
20260209,603103.SH,横店影视,,0,0
20260209,688717.SH,艾罗能源,22,0,1
20260209,301526.SZ,国际复材,11,1,1
20260209,605376.SH,博迁新材,18,0,1
20260210,002985.SZ,北摩高科,1,1,1
20260210,605599.SH,菜百股份,9,1,1
20260210,605118.SH,力鼎光电,2,1,1
20260210,300401.SZ,花园生物,27,0,0
20260210,000672.SZ,上峰水泥,4,1,1
20260210,688548.SH,广钢气体,7,1,1
20260210,301205.SZ,联特科技,5,1,1
20260210,001337.SZ,四川黄金,8,1,1
20260210,600963.SH,岳阳林纸,20,0,1
20260210,603103.SH,横店影视,,0,0
20260210,688717.SH,艾罗能源,11,1,1
20260210,301526.SZ,国际复材,10,1,1
20260210,605376.SH,博迁新材,17,0,1
20260211,002985.SZ,北摩高科,1,1,1
20260211,605599.SH,菜百股份,7,1,1
20260211,605118.SH,力鼎光电,3,1,1
20260211,300401.SZ,花园生物,18,0,1
20260211,000672.SZ,上峰水泥,5,1,1
20260211,688548.SH,广钢气体,4,1,1
20260211,301205.SZ,联特科技,,0,0
20260211,001337.SZ,四川黄金,6,1,1
20260211,600963.SH,岳阳林纸,9,1,1
20260211,603103.SH,横店影视,17,0,1
20260211,688717.SH,艾罗能源,2,1,1
20260211,301526.SZ,国际复材,,0,0
20260211,605376.SH,博迁新材,14,1,1
20260212,002985.SZ,北摩高科,1,1,1
20260212,605599.SH,菜百股份,10,1,1
20260212,605118.SH,力鼎光电,4,1,1
20260212,300401.SZ,花园生物,66,0,0
20260212,000672.SZ,上峰水泥,2,1,1
20260212,688548.SH,广钢气体,7,1,1
20260212,301205.SZ,联特科技,,0,0
20260212,001337.SZ,四川黄金,12,1,1
20260212,600963.SH,岳阳林纸,6,1,1
20260212,603103.SH,横店影视,23,0,0
20260212,688717.SH,艾罗能源,3,1,1
20260212,301526.SZ,国际复材,22,0,1
20260212,605376.SH,博迁新材,20,0,1
20260213,002985.SZ,北摩高科,1,1,1
20260213,605599.SH,菜百股份,8,1,1
20260213,605118.SH,力鼎光电,2,1,1
20260213,300401.SZ,花园生物,119,0,0
20260213,000672.SZ,上峰水泥,3,1,1
20260213,688548.SH,广钢气体,7,1,1
20260213,301205.SZ,联特科技,,0,0
20260213,001337.SZ,四川黄金,16,0,1
20260213,600963.SH,岳阳林纸,18,0,1
20260213,603103.SH,横店影视,21,0,1
20260213,688717.SH,艾罗能源,5,1,1
20260213,301526.SZ,国际复材,13,1,1
20260213,605376.SH,博迁新材,15,1,1
20260224,002985.SZ,北摩高科,1,1,1
20260224,605599.SH,菜百股份,9,1,1
20260224,605118.SH,力鼎光电,2,1,1
20260224,300401.SZ,花园生物,,0,0
20260224,000672.SZ,上峰水泥,8,1,1
20260224,688548.SH,广钢气体,6,1,1
20260224,301205.SZ,联特科技,11,1,1
20260224,001337.SZ,四川黄金,,0,0
20260224,600963.SH,岳阳林纸,10,1,1
20260224,603103.SH,横店影视,20,0,1
20260224,688717.SH,艾罗能源,5,1,1
20260224,301526.SZ,国际复材,,0,0
20260224,605376.SH,博迁新材,17,0,1
20260225,002985.SZ,北摩高科,4,1,1
20260225,605599.SH,菜百股份,14,1,1
20260225,605118.SH,力鼎光电,3,1,1
20260225,300401.SZ,花园生物,156,0,0
20260225,000672.SZ,上峰水泥,7,1,1
20260225,688548.SH,广钢气体,10,1,1
20260225,301205.SZ,联特科技,30,0,0
20260225,001337.SZ,四川黄金,12,1,1
20260225,600963.SH,岳阳林纸,8,1,1
20260225,603103.SH,横店影视,36,0,0
20260225,688717.SH,艾罗能源,5,1,1
20260225,301526.SZ,国际复材,35,0,0
20260225,605376.SH,博迁新材,17,0,1
20260226,002985.SZ,北摩高科,13,1,1
20260226,605599.SH,菜百股份,16,0,1
20260226,605118.SH,力鼎光电,4,1,1
20260226,300401.SZ,花园生物,,0,0
20260226,000672.SZ,上峰水泥,25,0,0
20260226,688548.SH,广钢气体,8,1,1
20260226,301205.SZ,联特科技,,0,0
20260226,001337.SZ,四川黄金,9,1,1
20260226,600963.SH,岳阳林纸,22,0,1
20260226,603103.SH,横店影视,75,0,0
20260226,688717.SH,艾罗能源,3,1,1
20260226,301526.SZ,国际复材,24,0,0
20260226,605376.SH,博迁新材,11,1,1
20260227,002985.SZ,北摩高科,,0,0
20260227,605599.SH,菜百股份,17,0,1
20260227,605118.SH,力鼎光电,4,1,1
20260227,300401.SZ,花园生物,,0,0
20260227,000672.SZ,上峰水泥,90,0,0
20260227,688548.SH,广钢气体,7,1,1
20260227,301205.SZ,联特科技,,0,0
20260227,001337.SZ,四川黄金,12,1,1
20260227,600963.SH,岳阳林纸,5,1,1
20260227,603103.SH,横店影视,78,0,0
20260227,688717.SH,艾罗能源,10,1,1
20260227,301526.SZ,国际复材,22,0,1
20260227,605376.SH,博迁新材,20,0,1
20260302,002985.SZ,北摩高科,25,0,0
20260302,605599.SH,菜百股份,18,0,1
20260302,605118.SH,力鼎光电,8,1,1
20260302,300401.SZ,花园生物,,0,0
20260302,000672.SZ,上峰水泥,93,0,0
20260302,688548.SH,广钢气体,5,1,1
20260302,301205.SZ,联特科技,60,0,0
20260302,001337.SZ,四川黄金,,0,0
20260302,600963.SH,岳阳林纸,4,1,1
20260302,603103.SH,横店影视,91,0,0
20260302,688717.SH,艾罗能源,2,1,1
20260302,301526.SZ,国际复材,9,1,1
20260302,605376.SH,博迁新材,15,1,1
20260303,002985.SZ,北摩高科,49,0,0
20260303,605599.SH,菜百股份,39,0,0
20260303,605118.SH,力鼎光电,5,1,1
20260303,300401.SZ,花园生物,,0,0
20260303,000672.SZ,上峰水泥,58,0,0
20260303,688548.SH,广钢气体,4,1,1
20260303,301205.SZ,联特科技,,0,0
20260303,001337.SZ,四川黄金,7,1,1
20260303,600963.SH,岳阳林纸,35,0,0
20260303,603103.SH,横店影视,76,0,0
20260303,688717.SH,艾罗能源,,0,0
20260303,301526.SZ,国际复材,8,1,1
20260303,605376.SH,博迁新材,9,1,1
20260304,002985.SZ,北摩高科,33,0,0
20260304,605599.SH,菜百股份,46,0,0
20260304,605118.SH,力鼎光电,8,1,1
20260304,300401.SZ,花园生物,,0,0
20260304,000672.SZ,上峰水泥,49,0,0
20260304,688548.SH,广钢气体,7,1,1
