ts_code,peer_group,hfsf_latest_ann_date,hfsf_latest_report_period,hfsf_roe,hfsf_roic,hfsf_gross_margin_pct,hfsf_profit_dedt,hfsf_fcff,hfsf_debt_to_assets_pct,hfsf_revenue,hfsf_net_profit,hfsf_ocf,hfsf_free_cashflow,hfsf_capex,hfsf_total_assets,hfsf_total_liab,hfsf_close,hfsf_pe_ttm,hfsf_dividend_yield_pct,hfsf_total_mv_10k,hfsf_dividend_yield,hfsf_pe_inverse,hfsf_market_cap,hfsf_fcf_yield,hfsf_profit_dedt_ratio,hfsf_ocf_np_ratio,hfsf_fcf_to_assets,hfsf_pe_ttm_5y_monthly_avg,hfsf_pe_ttm_vs_5y_avg,hfsf_gross_margin_3y_std,hfsf_revenue_3y_cagr,hfsf_fcf_3y_cagr,hfsf_pe_ttm_peer_avg,hfsf_gross_margin_peer_avg,hfsf_fcf_to_assets_peer_avg,hfsf_pe_ttm_vs_peer,hfsf_gross_margin_vs_peer,hfsf_score,hfsf_signal
000012.SZ,玻璃制造,20251029,20250930,1.123,1.199,13.8777,50836518.0,,56.1713,10424014383.0,150395724.0,832463508.0,-971912120.0,880718251.0,31269652989.0,17564570233.0,4.54,,1.5159,1381280.8402,0.015159,,13812808402.0,-0.07036310732141002,0.3380183734479047,5.535154097865176,-0.031081640731411318,14.46048163265306,,6.799511049788101,0.042809393334421575,,28.6159,10.6437,-0.024367710925607994,,3.234,-0.16602019564423126,
000019.SZ,粮油加工,20251028,20250930,4.9154,4.261,16.9132,224189675.93,793576135.1056,28.8246,3918475506.66,243526494.69,1265157178.48,1184093540.33,81063638.15,7011856578.62,2021139400.04,7.78,27.6517,1.928,896672.4276,0.01928,0.03616414180683285,8966724276.0,0.13205419324638995,0.9205966530064212,5.195152092549508,0.16887018823808297,21.980009836065573,1.2580385635054685,1.767445718166945,-0.14671990454428818,0.15220583188005077,27.6517,16.9132,0.16887018823808297,1.0,0.0,0.3146134359484017,
000028.SZ,医药流通,20251031,20250930,5.3027,4.1187,10.4852,923019047.69,-2283136773.1732,57.385,55124490690.34,957118469.53,-1817269997.84,-1881575653.57,64305655.73,50558862580.68,29013188938.82,25.7,12.5921,1.4241,1430372.2479,0.014240999999999998,0.07941487122878631,14303722479.0,-0.13154447426762048,0.9643728306102538,-1.8986886740701845,-0.03721554555479664,13.79564262295082,0.9127592200055564,0.3999368020908639,0.01702551596016888,0.1265797233961523,22.19715,17.398419999999998,-0.002231080205959972,0.5672845387808795,-6.913219999999997,-0.23888436484461908,
000029.SZ,住宅开发,20251027,20250930,4.0448,4.0646,27.1348,131941117.04,-85641137.8508,31.9431,898853082.45,145117675.52,-92004446.37,-85641137.8508,500391.16,5210649236.93,1664443483.32,19.21,194.4254,,1943398.86,,0.005143360898318841,19433988600.0,-0.004406771024389713,0.9092008714115324,-0.6339988980688988,-0.016435790235855112,45.95017037037037,4.23122261425541,14.49442960823226,-0.20976398169898725,,144.56085,21.179933333333334,-0.028213595259488532,1.3449381350483205,5.954866666666664,-0.3794006361200419,
000030.SZ,底盘与发动机系统,20251029,20250930,5.4697,5.5097,11.4548,405074540.06,-531846027.2045,48.041,12142924440.15,439834273.53,137195823.71,-134154966.41,271350790.12,18863204176.25,9062075700.81,5.02,12.8456,3.0271,863345.0442,0.030271,0.0778476676838762,8633450442.0,-0.015538974516765981,0.920970839332217,0.31192617757797864,-0.007111992488471806,14.595031147540983,0.8801351549129285,1.4323999692823226,0.05122835449835228,-0.3283305415631369,53.256008333333334,22.543149999999997,-0.0005441863271759354,0.2412047091400172,-11.088349999999997,0.03887631429799855,
000035.SZ,固废治理,20251031,20250930,2.8896,2.6122,31.615,302866718.87,-1395165009.4763,65.6157,3942265178.09,313347692.85,496852268.31,-562895671.8299999,1059747940.14,32407606012.26,21264466534.01,7.22,75.0061,0.4875,1724159.6592,0.004875,0.013332248977083197,17241596592.0,-0.03264753753090246,0.9665516159232828,1.5856260621897857,-0.017369245714017042,40.57478852459017,1.848588809145435,6.4969682854133355,-0.27570319606825133,,93.48827000000001,29.041281818181815,-0.011770235248434367,0.8023049308752851,2.573718181818183,-0.14435444899317992,
001914.SZ,物业管理,20251030,20250930,6.4544,5.9599,11.5528,668740312.12,-1331782528.9876,43.0698,13941662594.73,686232522.98,-1206439170.77,-1221192824.87,14753654.1,19324582359.51,8323063949.61,9.91,15.9528,2.4347,1044236.3793,0.024346999999999997,0.06268492051552078,10442363793.0,-0.11694601424330973,0.9745097903782829,-1.7580617798920049,-0.06319374991661993,23.490103278688522,0.6791285594079628,1.0220846416352545,0.10148571233291936,0.2909843004823469,28.9688,11.4733,-0.01701381212389269,0.5506890171494849,0.07949999999999946,-0.00638150292786626,
000048.SZ,生猪养殖,20251029,20250930,6.995,5.5677,17.465,294344409.54,-50433504.76,59.2034,3670284768.44,297861607.49,524991936.6,352356944.23,172634992.37,10491526764.03,6211345218.07,20.55,26.588,3.4765,1089730.0238,0.034765000000000004,0.03761095230931247,10897300238.0,0.03233433387485236,0.9881918385533521,1.762536437723433,0.033584906387319056,11.113888,2.392322110858055,9.375100707512424,0.13095494734539104,0.23535878328745619,85.660925,14.164625,-0.03061643329808687,0.31038656190089003,3.3003750000000007,0.19417587230502448,
000049.SZ,锂电池,20251029,20250930,3.4078,1.8351,8.9583,176570947.05,,61.8576,16103490012.54,225613034.37,692844643.58,-597956600.92,826110574.19,17348393666.09,10731306220.82,27.42,25.2635,1.2035,1054678.8602,0.012035,0.03958279731628634,10546788602.0,-0.05669560882320224,0.7826274201889766,3.070942445832945,-0.034467548548243666,18.030725,1.4011361162682032,0.4571663096365106,0.01736883244118692,,760.0467125,15.44951,-0.037242426256840225,0.033239404347795265,-6.491210000000001,-0.14591925001198264,
000058.SZ,商业物业经营,20251030,20250930,4.5419,3.4414,24.4447,79802815.18,-272215613.0934,50.1367,1217250722.03,92886466.82,53645853.11,-134551934.27999997,188197787.39,5045857582.25,2529828059.71,8.15,144.5972,0.1534,1003428.5477,0.001534,0.006915763237462414,10034285477.0,-0.013409219280078488,0.8591436181402601,0.5775421861395331,-0.02666582084149943,360.9015346938776,0.4006555420238089,3.823814838439052,-0.03755597141222944,-0.30865421426487794,112.44886666666666,28.315966666666668,-0.024718222813533936,1.2858929065833182,-3.871266666666667,-0.0418538007184099,
