ts_code,name,trade_date,open,high,low,close,pct_chg,vol,amount,px_ma10_ratio,px_ma20_ratio,ma10_angle_deg,ma20_angle_deg,float_market_value,amount_ma20,turnover_rate_ma20,latest_roe
600821.SH,金开新能,20260323,10.38,11.4,9.9,10.06,-6.0691,5770321.7,6195318.99,,,,,2009247.0337,3831604.42385,,5.9208
600821.SH,金开新能,20260324,10.21,11.07,9.5,11.07,10.0398,6134630.73,6439102.612,,,,,2210970.6425,4069930.73905,,5.9208
600821.SH,金开新能,20260325,11.42,11.65,11.05,11.25,1.626,7012999.24,7955525.145,,,,,,,,5.9208
300672.SZ,国科微,20260323,187.23,189.99,172.09,174.53,-10.5433,170596.62,3060708.963,,,,,3671023.1974,2160111.1051,,0.1813
300672.SZ,国科微,20260324,177.0,177.0,163.03,174.04,-0.2808,125850.54,2130947.912,,,,,3660716.652,2207220.6689,,0.1813
300672.SZ,国科微,20260325,178.06,184.02,173.5,175.72,0.9653,119582.54,2129807.503,,,,,,,,0.1813
688519.SH,南亚新材,20260323,140.0,142.49,128.94,133.02,-9.0772,74465.83,1000828.283,,,,,3122923.8686,780999.1914,,9.0582
688519.SH,南亚新材,20260324,137.2,159.62,132.0,157.0,18.0274,85477.33,1232716.265,,,,,3685904.7314,811267.594,,9.0582
688519.SH,南亚新材,20260325,156.22,169.99,150.28,152.0,-3.1847,93935.28,1497934.27,,,,,,,,9.0582
001309.SZ,德明利,20260323,320.0,331.8,315.0,321.0,-3.1733,144681.03,4670664.128,,,,,5164117.4814,4746932.01605,,23.9427
001309.SZ,德明利,20260324,317.79,351.8,306.1,349.63,8.919,222427.79,7272280.227,,,,,5624705.2804,5006426.01875,,23.9427
001309.SZ,德明利,20260325,354.94,378.0,350.43,375.17,7.3049,202216.96,7412965.511,,,,,,,,23.9427
603693.SH,江苏新能,20260323,15.98,18.22,15.79,17.78,7.3671,643024.95,1110489.439,,,,,1585044.1146,415616.49025,,5.7139
603693.SH,江苏新能,20260324,17.2,18.85,16.4,18.61,4.6682,618742.42,1094575.572,,,,,1659036.6127,465122.8608,,5.7139
603693.SH,江苏新能,20260325,17.86,20.37,17.82,18.61,0.0,664339.88,1258319.118,,,,,,,,5.7139
002015.SZ,协鑫能科,20260323,20.0,21.1,18.9,19.0,-8.6538,2540167.91,5081625.902,,,,,3084316.7666,4190780.48165,,6.3307
002015.SZ,协鑫能科,20260324,19.57,20.15,18.81,19.8,4.2105,2701984.64,5285709.104,,,,,3214182.7357,4398950.70435,,6.3307
002015.SZ,协鑫能科,20260325,19.52,20.93,19.5,20.02,1.1111,2803220.48,5685356.605,,,,,,,,6.3307
300257.SZ,开山股份,20260323,30.56,31.27,29.32,29.79,-3.6546,191510.85,575704.705,,,,,2844022.1058,771089.1149,,4.6308
300257.SZ,开山股份,20260324,30.2,30.4,29.11,29.93,0.47,120128.62,355802.438,,,,,2857387.7686,773132.1018,,4.6308
300257.SZ,开山股份,20260325,30.2,30.88,29.7,30.15,0.735,146441.81,442923.204,,,,,,,,4.6308
688063.SH,派能科技,20260323,82.99,86.2,80.98,81.84,-1.9763,220659.55,1831364.956,,,,,2008020.0938,1149237.6395,,0.922
688063.SH,派能科技,20260324,83.13,83.5,77.51,81.2,-0.782,168288.7,1350458.602,,,,,1992317.1019,1203446.5493,,0.922
688063.SH,派能科技,20260325,80.51,83.5,79.2,82.08,1.0837,181366.97,1486245.144,,,,,,,,0.922
688106.SH,金宏气体,20260323,28.76,32.66,28.7,30.7,5.462,641964.91,2007068.717,,,,,1479671.714,875495.11325,,4.2585
688106.SH,金宏气体,20260324,30.0,30.4,28.75,29.51,-3.8762,443890.66,1302190.919,,,,,1422316.3609,934153.362,,4.2585
688106.SH,金宏气体,20260325,28.21,28.4,26.5,28.18,-4.5069,453150.76,1252839.202,,,,,,,,4.2585
688700.SH,东威科技,20260323,50.31,51.76,48.45,48.87,-4.3078,181741.92,899974.917,,,,,1458287.4463,741199.57795,,4.8377
688700.SH,东威科技,20260324,50.88,54.21,49.11,54.21,10.9269,195399.22,1014980.667,,,,,1617633.7726,770462.5553,,4.8377
688700.SH,东威科技,20260325,54.5,56.55,53.58,54.31,0.1845,138619.56,761967.556,,,,,,,,4.8377
