ts_code,name,start_date,end_date,days,start_close,end_close,period_return_pct,best_day,worst_day
001309.SZ,德明利,20260323,20260325,3,321.0,375.17,16.875389408099693,20260324 (+8.92%),20260323 (-3.17%)
688519.SH,南亚新材,20260323,20260325,3,133.02,152.0,14.268531047962707,20260324 (+18.03%),20260323 (-9.08%)
600821.SH,金开新能,20260323,20260325,3,10.06,11.25,11.829025844930419,20260324 (+10.04%),20260323 (-6.07%)
688700.SH,东威科技,20260323,20260325,3,48.87,54.31,11.131573562512799,20260324 (+10.93%),20260323 (-4.31%)
002015.SZ,协鑫能科,20260323,20260325,3,19.0,20.02,5.368421052631578,20260324 (+4.21%),20260323 (-8.65%)
603693.SH,江苏新能,20260323,20260325,3,17.78,18.61,4.668166479190083,20260323 (+7.37%),20260325 (+0.00%)
300257.SZ,开山股份,20260323,20260325,3,29.79,30.15,1.2084592145015005,20260325 (+0.73%),20260323 (-3.65%)
300672.SZ,国科微,20260323,20260325,3,174.53,175.72,0.6818312038044949,20260325 (+0.97%),20260323 (-10.54%)
688063.SH,派能科技,20260323,20260325,3,81.84,82.08,0.2932551319648091,20260325 (+1.08%),20260323 (-1.98%)
688106.SH,金宏气体,20260323,20260325,3,30.7,28.18,-8.20846905537459,20260323 (+5.46%),20260325 (-4.51%)
