key,value
latest_trade_date,20260327
start_date,20210329
end_date,20260327
trade_days_daily,1211
trade_days_index_daily,1211
calendar_rows,1825
constituent_weight_date,20260227
constituent_count,1000
reused_market_dates,700
fetched_market_dates,511
daily_rows,1137258
index_daily_rows,1211
stock_basic_rows,1000
trade_cal_rows,1825
daily_basic_rows,1137258
adj_factor_rows,1138410
top_list_rows,10015
bundle_rows,3426977
output_file,/Users/wuhan/project/stock_agent/new/data_exports/tushare_20210329_20260327_csi1000_5y/csi1000_market_bundle_5y.csv
