ts_code,trade_date,open,high,low,close,vol,amount,pct_chg,px_ma10_ratio,px_ma20_ratio,ma10_angle_deg,ma20_angle_deg,amount_ma20,float_market_value,turnover_rate_ma20,latest_roe
000001.SZ,20260105,11.42,11.51,11.41,11.5,875491.18,1003479.224,0.7888,,,,,,22316440.751,,8.1514
601111.SH,20260105,9.22,9.28,8.96,9.2,1222720.95,1113031.866,-1.8143,,,,,,10707060.7161,,-4.0374
601100.SH,20260105,108.8,115.5,108.07,113.5,114719.35,1297166.615,3.2663,,,,,,15218318.2592,,12.7128
601088.SH,20260105,40.51,40.75,40.22,40.26,283836.0,1146805.091,-0.5926,,,,,,66392918.8068,,12.6437
601077.SH,20260105,6.44,6.46,6.3,6.42,733548.83,468051.529,-0.6192,,,,,,5674151.6266,,9.0234
601066.SH,20260105,26.9,27.01,26.6,26.94,198668.39,533296.312,0.635,,,,,,17499337.7683,,8.3694
601059.SH,20260105,17.76,17.79,17.71,17.79,199904.61,354833.607,0.4517,,,,,,1230356.4,,7.3004
601117.SH,20260105,7.53,7.58,7.51,7.55,538884.67,406779.384,0.2656,,,,,,4596490.8583,,9.9426
601058.SH,20260105,16.38,16.77,16.23,16.55,368787.3,607857.923,2.2868,,,,,,5441805.9286,,14.154
601018.SH,20260105,3.64,3.66,3.63,3.65,515949.0,188183.941,0.551,0.144064,,,,,7100851.7656,,6.4993
601012.SH,20260105,18.43,18.5,18.23,18.49,1063532.4,1958453.795,1.5934,0.710198,,70.076412,,,14011826.8254,,-5.7551
601009.SH,20260105,11.45,11.51,11.23,11.32,619859.66,701025.849,-0.9624,0.431287,,39.155529,,,13995558.1213,,8.9921
601006.SH,20260105,5.17,5.2,5.15,5.16,1525846.74,789186.995,0.0,0.334782,,-88.612195,,,10395943.7015,,3.8743
600999.SH,20260105,16.68,17.06,16.67,17.03,872285.78,1479329.096,2.3438,1.300993,,-86.204015,,,12639674.9782,,9.2098
600989.SH,20260105,19.7,19.78,19.3,19.5,393138.13,767928.296,-0.6623,1.354355,,84.28507,,,14300052.0,,24.8376
601021.SH,20260105,59.3,59.8,58.05,59.21,56374.22,332564.952,-0.4874,3.359433,,87.445312,,,5792712.1976,,13.1358
601127.SH,20260105,120.15,121.8,119.66,121.31,166143.38,2009932.401,0.2894,4.336062,,89.024594,,,18315167.7833,,22.4014
601136.SH,20260105,18.8,19.03,18.78,18.99,128999.89,244171.87,1.0644,0.652107,,76.257798,,,5190600.8862,,7.8296
601138.SH,20260105,63.29,64.28,62.71,63.67,1593405.65,10131702.308,2.6108,1.88189,,86.463517,,,126437056.1336,,22.0901
601360.SH,20260105,11.17,11.57,11.13,11.41,2216499.19,2509557.256,2.1486,0.329683,0.380682,66.443171,,,7986495.5399,,-0.4105
601336.SH,20260105,70.5,76.05,70.5,75.88,393797.98,2919368.716,8.8666,1.880638,2.286127,86.548961,84.680458,,15824313.7119,,34.9247
601328.SH,20260105,7.26,7.28,7.18,7.23,1380160.14,997147.85,-0.2759,0.181026,0.218475,-45.389262,-16.528926,,18850373.8084,,7.9238
601319.SH,20260105,8.99,9.52,8.96,9.43,1238845.69,1154695.855,5.3631,0.233612,0.33812,46.913562,-86.361028,,33474384.4578,,16.1482
601318.SH,20260105,69.2,73.0,69.2,72.36,1228831.0,8824564.893,5.7895,1.576505,2.453339,85.827379,80.142351,,77136230.9406,,13.9737
601298.SH,20260105,8.39,8.41,8.35,8.38,185238.8,155107.809,0.4796,0.187108,0.28318,-67.571084,18.379859,,4518558.85,,11.9534
601288.SH,20260105,7.65,7.68,7.54,7.57,3184015.59,2413285.383,-1.4323,0.191051,0.264463,-85.043182,-73.009477,,241667867.5582,,9.1985
601238.SH,20260105,8.14,8.2,8.11,8.19,310599.04,253429.473,0.3676,0.289287,0.291003,-87.993898,-59.190967,,6047248.3303,,-8.0002
