ts_code,trade_date,close,pct_chg
000300.SH,20260105,4717.7457,1.8965
000300.SH,20260106,4790.6938,1.5462
000300.SH,20260107,4776.6658,-0.2928
000300.SH,20260108,4737.6536,-0.8167
000300.SH,20260109,4758.9221,0.4489
000300.SH,20260112,4789.9155,0.6513
000300.SH,20260113,4761.0324,-0.603
000300.SH,20260114,4741.9306,-0.4012
000300.SH,20260115,4751.4293,0.2003
000300.SH,20260116,4731.8728,-0.4116
000300.SH,20260119,4734.4556,0.0546
000300.SH,20260120,4718.8782,-0.329
000300.SH,20260121,4723.0692,0.0888
000300.SH,20260122,4723.7091,0.0135
000300.SH,20260123,4702.4966,-0.4491
000300.SH,20260126,4706.964,0.095
000300.SH,20260127,4705.6918,-0.027
000300.SH,20260128,4717.9914,0.2614
000300.SH,20260129,4753.8697,0.7605
000300.SH,20260130,4706.3401,-0.9998
000300.SH,20260202,4605.9799,-2.1324
000300.SH,20260203,4660.1074,1.1752
000300.SH,20260204,4698.6832,0.8278
000300.SH,20260205,4670.4188,-0.6015
000300.SH,20260206,4643.5959,-0.5743
000300.SH,20260209,4719.0559,1.625
000300.SH,20260210,4724.2956,0.111
000300.SH,20260211,4713.8185,-0.2218
000300.SH,20260212,4719.578,0.1222
000300.SH,20260213,4660.4056,-1.2538
000300.SH,20260224,4707.544,1.0115
000300.SH,20260225,4735.8858,0.6021
000300.SH,20260226,4726.8739,-0.1903
000300.SH,20260227,4710.6469,-0.3433
000300.SH,20260302,4728.6688,0.3826
000300.SH,20260303,4655.8962,-1.539
000300.SH,20260304,4602.6247,-1.1442
000300.SH,20260305,4647.6921,0.9792
000300.SH,20260306,4660.439,0.2743
000300.SH,20260309,4615.4551,-0.9652
000300.SH,20260310,4674.7562,1.2848
000300.SH,20260311,4704.4959,0.6362
000300.SH,20260312,4687.5601,-0.36
000300.SH,20260313,4669.14,-0.393
000300.SH,20260316,4671.5591,0.0518
000300.SH,20260317,4637.4392,-0.7304
000300.SH,20260318,4658.3324,0.4505
000300.SH,20260319,4583.2511,-1.6118
000300.SH,20260320,4567.0179,-0.3542
