ts_code,name,industry,market,list_date,list_status,hs300_weight
600519.SH,贵州茅台,白酒,主板,20010827,L,3.4945
300750.SZ,宁德时代,电气设备,创业板,20180611,L,3.4869
601899.SH,紫金矿业,铜,主板,20080425,L,2.6024
601318.SH,中国平安,保险,主板,20070301,L,2.5758
300308.SZ,中际旭创,通信设备,创业板,20120410,L,2.457
600036.SH,招商银行,银行,主板,20020409,L,1.8549
000333.SZ,美的集团,家用电器,主板,20130918,L,1.4779
300502.SZ,新易盛,通信设备,创业板,20160303,L,1.4676
600900.SH,长江电力,水力发电,主板,20031118,L,1.2598
601166.SH,兴业银行,银行,主板,20070205,L,1.2014
300059.SZ,东方财富,证券,创业板,20100319,L,1.0755
600030.SH,中信证券,证券,主板,20030106,L,1.0239
002594.SZ,比亚迪,汽车整车,主板,20110630,L,1.0191
688256.SH,寒武纪,半导体,科创板,20200720,L,0.9739
002475.SZ,立讯精密,元器件,主板,20100915,L,0.9701
600276.SH,恒瑞医药,化学制药,主板,20001018,L,0.9438
688041.SH,海光信息,半导体,科创板,20220812,L,0.933
603259.SH,药明康德,化学制药,主板,20180508,L,0.9206
601398.SH,工商银行,银行,主板,20061027,L,0.8727
688981.SH,中芯国际,半导体,科创板,20200716,L,0.872
601138.SH,工业富联,通信设备,主板,20180608,L,0.8547
300274.SZ,阳光电源,电气设备,创业板,20111102,L,0.8401
603993.SH,洛阳钼业,小金属,主板,20121009,L,0.8391
601211.SH,国泰海通,证券,主板,20150626,L,0.8245
002371.SZ,北方华创,半导体,主板,20100316,L,0.7816
000858.SZ,五粮液,白酒,主板,19980427,L,0.7764
603986.SH,兆易创新,半导体,主板,20160818,L,0.7587
601288.SH,农业银行,银行,主板,20100715,L,0.7215
300476.SZ,胜宏科技,元器件,创业板,20150611,L,0.7161
688008.SH,澜起科技,半导体,科创板,20190722,L,0.7076
600309.SH,万华化学,化工原料,主板,20010105,L,0.6866
601328.SH,交通银行,银行,主板,20070515,L,0.6802
600150.SH,中国船舶,船舶,主板,19980520,L,0.6672
000651.SZ,格力电器,家用电器,主板,19961118,L,0.646
000725.SZ,京东方Ａ,元器件,主板,20010112,L,0.639
600887.SH,伊利股份,乳制品,主板,19960312,L,0.6374
300394.SZ,天孚通信,通信设备,创业板,20150217,L,0.6327
600089.SH,特变电工,电气设备,主板,19970618,L,0.6166
600111.SH,北方稀土,小金属,主板,19970924,L,0.6055
600919.SH,江苏银行,银行,主板,20160802,L,0.594
688012.SH,中微公司,半导体,科创板,20190722,L,0.5931
000338.SZ,潍柴动力,汽车配件,主板,20070430,L,0.5819
601088.SH,中国神华,煤炭开采,主板,20071009,L,0.5717
601816.SH,京沪高铁,铁路,主板,20200116,L,0.5711
002028.SZ,思源电气,电气设备,主板,20040805,L,0.537
601601.SH,中国太保,保险,主板,20071225,L,0.5304
600031.SH,三一重工,工程机械,主板,20030703,L,0.5281
601857.SH,中国石油,石油开采,主板,20071105,L,0.5249
300124.SZ,汇川技术,电器仪表,创业板,20100928,L,0.5228
603019.SH,中科曙光,IT设备,主板,20141106,L,0.5129
600000.SH,浦发银行,银行,主板,19991110,L,0.4998
002714.SZ,牧原股份,农业综合,主板,20140128,L,0.4955
002230.SZ,科大讯飞,软件服务,主板,20080512,L,0.4866
601688.SH,华泰证券,证券,主板,20100226,L,0.4799
000063.SZ,中兴通讯,通信设备,主板,19971118,L,0.4726
000792.SZ,盐湖股份,农药化肥,主板,19970904,L,0.4694
603799.SH,华友钴业,小金属,主板,20150129,L,0.4612
002384.SZ,东山精密,元器件,主板,20100409,L,0.4523
002415.SZ,海康威视,IT设备,主板,20100528,L,0.4427
000425.SZ,徐工机械,工程机械,主板,19960828,L,0.4424
600406.SH,国电南瑞,电气设备,主板,20031016,L,0.4409
601600.SH,中国铝业,铝,主板,20070430,L,0.4384
300760.SZ,迈瑞医疗,医疗保健,创业板,20181016,L,0.4316
002050.SZ,三花智控,家用电器,主板,20050607,L,0.4286
002463.SZ,沪电股份,元器件,主板,20100818,L,0.4272
601012.SH,隆基绿能,电气设备,主板,20120411,L,0.4257
002142.SZ,宁波银行,银行,主板,20070719,L,0.4133
000001.SZ,平安银行,银行,主板,19910403,L,0.408
601668.SH,中国建筑,建筑工程,主板,20090729,L,0.4035
600028.SH,中国石化,石油加工,主板,20010808,L,0.4015
000100.SZ,TCL科技,元器件,主板,20040130,L,0.399
600489.SH,中金黄金,黄金,主板,20030814,L,0.3947
603501.SH,豪威集团,半导体,主板,20170504,L,0.3902
600016.SH,民生银行,银行,主板,20001219,L,0.38
601919.SH,中远海控,水运,主板,20070626,L,0.3773
601229.SH,上海银行,银行,主板,20161116,L,0.3758
600660.SH,福耀玻璃,汽车配件,主板,19930610,L,0.3755
601225.SH,陕西煤业,煤炭开采,主板,20140128,L,0.3729
600690.SH,海尔智家,家用电器,主板,19931119,L,0.3682
600938.SH,中国海油,石油开采,主板,20220421,L,0.3658
600547.SH,山东黄金,黄金,主板,20030828,L,0.3644
601728.SH,中国电信,电信运营,主板,20210820,L,0.3532
002352.SZ,顺丰控股,仓储物流,主板,20100205,L,0.3444
601127.SH,赛力斯,汽车整车,主板,20160615,L,0.3361
600941.SH,中国移动,电信运营,主板,20220105,L,0.3344
300498.SZ,温氏股份,农业综合,创业板,20151102,L,0.328
300408.SZ,三环集团,元器件,创业板,20141203,L,0.3275
600926.SH,杭州银行,银行,主板,20161027,L,0.3239
600183.SH,生益科技,元器件,主板,19981028,L,0.3222
600522.SH,中天科技,通信设备,主板,20021024,L,0.3196
600893.SH,航发动力,航空,主板,19960408,L,0.3169
002460.SZ,赣锋锂业,小金属,主板,20100810,L,0.3149
300442.SZ,润泽科技,软件服务,创业板,20150424,L,0.3126
601169.SH,北京银行,银行,主板,20070919,L,0.3114
