cal_date,is_open
20260105,1
20260106,1
20260107,1
20260108,1
20260109,1
20260110,0
20260111,0
20260112,1
20260113,1
20260114,1
20260115,1
20260116,1
20260117,0
20260118,0
20260119,1
20260120,1
20260121,1
20260122,1
20260123,1
20260124,0
20260125,0
20260126,1
20260127,1
20260128,1
20260129,1
20260130,1
20260131,0
20260201,0
20260202,1
20260203,1
20260204,1
20260205,1
20260206,1
20260207,0
20260208,0
20260209,1
20260210,1
20260211,1
20260212,1
20260213,1
20260214,0
20260215,0
20260216,0
20260217,0
20260218,0
20260219,0
20260220,0
20260221,0
20260222,0
20260223,0
20260224,1
20260225,1
20260226,1
20260227,1
20260228,0
20260301,0
20260302,1
20260303,1
20260304,1
20260305,1
20260306,1
20260307,0
20260308,0
20260309,1
20260310,1
20260311,1
20260312,1
20260313,1
20260314,0
20260315,0
20260316,1
20260317,1
20260318,1
20260319,1
20260320,1
